# Original starter lessons. word|ipa|meaning|example|exampleZh|level
learn|/lɜːn/|v. 学习；学会|I learn ten words every morning.|我每天早上学习十个单词。|基础
study|/ˈstʌdi/|v. 学习；研究|We study English after dinner.|我们晚饭后学习英语。|基础
read|/riːd/|v. 阅读|Please read this short story.|请读这篇小故事。|基础
write|/raɪt/|v. 写；写作|Write your answer in a notebook.|把你的答案写在笔记本里。|基础
listen|/ˈlɪsən/|v. 听；倾听|Listen to the sentence twice.|把这个句子听两遍。|基础
speak|/spiːk/|v. 说话；讲某种语言|She speaks English with her friends.|她和朋友们说英语。|基础
understand|/ˌʌndəˈstænd/|v. 理解；明白|I understand the question now.|我现在理解这个问题了。|基础
remember|/rɪˈmembə/|v. 记住；记得|I remember your name.|我记得你的名字。|基础
forget|/fəˈɡet/|v. 忘记|Do not forget your notebook.|别忘记带你的笔记本。|基础
practice|/ˈpræktɪs/|n. 练习；实践|Daily practice helps me improve.|每天练习帮助我进步。|基础
question|/ˈkwestʃən/|n. 问题；疑问|May I ask a question?|我可以问一个问题吗？|基础
answer|/ˈɑːnsə/|n. 回答；答案；v. 回答|Her answer is correct.|她的答案是正确的。|基础
mistake|/mɪˈsteɪk/|n. 错误|Everyone makes mistakes when learning.|每个人学习时都会犯错。|基础
easy|/ˈiːzi/|adj. 容易的|This story is easy to read.|这个故事很容易读懂。|基础
difficult|/ˈdɪfɪkəlt/|adj. 困难的|The last question is difficult.|最后一个问题很难。|基础
important|/ɪmˈpɔːtənt/|adj. 重要的|Sleep is important for learning.|睡眠对学习很重要。|基础
begin|/bɪˈɡɪn/|v. 开始|Our class begins at nine.|我们的课九点开始。|基础
finish|/ˈfɪnɪʃ/|v. 完成；结束|I finish my homework before dinner.|我在晚饭前完成作业。|基础
need|/niːd/|v. 需要；n. 需要|You need a short break.|你需要短暂休息一下。|基础
want|/wɒnt/|v. 想要|I want to read English books.|我想读英文书。|基础
choose|/tʃuːz/|v. 选择|Choose one answer from the list.|从列表中选一个答案。|基础
change|/tʃeɪndʒ/|v. 改变；n. 变化|Small habits can change your life.|小习惯可以改变你的生活。|基础
help|/help/|v. 帮助；n. 帮助|Pictures help me remember words.|图片帮助我记住单词。|基础
ask|/ɑːsk/|v. 问；请求|Ask your teacher for help.|向老师寻求帮助。|基础
tell|/tel/|v. 告诉；讲述|Tell me about your school.|跟我说说你的学校。|基础
find|/faɪnd/|v. 找到；发现|I find new words in the story.|我在故事里发现了新单词。|基础
think|/θɪŋk/|v. 思考；认为|Think before you answer.|回答之前先想一想。|基础
know|/nəʊ/|v. 知道；认识|Do you know this word?|你认识这个单词吗？|基础
feel|/fiːl/|v. 感觉；感到|I feel better after a walk.|散步后我感觉好多了。|基础
try|/traɪ/|v. 尝试；努力|Try again with a shorter sentence.|用一个更短的句子再试试。|基础
time|/taɪm/|n. 时间；次|Make time for reading each day.|每天抽出时间阅读。|基础
minute|/ˈmɪnɪt/|n. 分钟|The lesson takes twenty minutes.|这节课需要二十分钟。|基础
morning|/ˈmɔːnɪŋ/|n. 早晨；上午|The library opens in the morning.|图书馆在上午开门。|基础
evening|/ˈiːvnɪŋ/|n. 傍晚；晚上|I review my words in the evening.|我在晚上复习单词。|基础
today|/təˈdeɪ/|adv. 今天|Today I learned five useful words.|今天我学了五个有用的单词。|基础
tomorrow|/təˈmɒrəʊ/|adv. 明天|We will read the next story tomorrow.|我们明天读下一个故事。|基础
often|/ˈɒfən/|adv. 经常|He often reads on the bus.|他经常在公交车上阅读。|基础
sometimes|/ˈsʌmtaɪmz/|adv. 有时|Sometimes I study with a friend.|有时我和一个朋友一起学习。|基础
always|/ˈɔːlweɪz/|adv. 总是；一直|She always checks her answers.|她总是检查自己的答案。|基础
together|/təˈɡeðə/|adv. 一起|We solve the problem together.|我们一起解决这个问题。|基础
friend|/frend/|n. 朋友|My friend sends me a short message.|我的朋友给我发了一条短消息。|基础
family|/ˈfæməli/|n. 家庭；家人|My family supports my study plan.|我的家人支持我的学习计划。|基础
school|/skuːl/|n. 学校|There is a small park near our school.|我们学校附近有个小公园。|基础
library|/ˈlaɪbrəri/|n. 图书馆|The library is quiet after lunch.|午饭后图书馆很安静。|基础
work|/wɜːk/|n. 工作；v. 工作|I listen to English after work.|我下班后听英语。|基础
busy|/ˈbɪzi/|adj. 忙碌的|Even on busy days, I read a little.|即使在忙碌的日子里，我也会读一点。|基础
tired|/ˈtaɪəd/|adj. 疲倦的|When I am tired, I take a break.|我累的时候就休息一下。|基础
healthy|/ˈhelθi/|adj. 健康的|Walking is a healthy habit.|散步是一个健康的习惯。|基础
happy|/ˈhæpi/|adj. 快乐的；高兴的|I am happy with my progress.|我对自己的进步感到高兴。|基础
careful|/ˈkeəfəl/|adj. 仔细的；小心的|Be careful with similar words.|注意那些相似的单词。|基础
because|/bɪˈkɒz/|conj. 因为|I read slowly because the story is new.|因为这个故事是新的，所以我读得很慢。|基础
